"TICKER","date","SICCD","COMNAM","market_cap","SHROUT","VOL","PRC","ASKHI","BIDLO","total","negative","positive","sprtrn","RET","next_month_return","last_month_return","last_month_volume","X1_month_ma","X2_month_ma","X3_month_ma","proper","Ask_minus_Bid","comp_size","dummy_negative","dummy_positive","dummy_total","move_avg_2","move_avg_3","lasso_pred","pred_forest","log_pred"
"AAPL","2023-03-31",3571,"APPLE INC",-1.88568143584984,1.7756297402304,1.47687172558959,-1.91816141020882,-1.79198634043833,-1.99710933686292,9,0,1,0.373978158424339,1.33432719904732,0.0289888707628008,-0.108488716633342,1.4875663853408,-1.91816141020882,-1.89410648675084,-1.99778479486408,"1",0.709727682454649,"9","0","1","1","1","0",0.0141704213546423,0.0152658855024775,"Positive"
"AAPL","2023-04-30",3571,"APPLE INC",-1.0822349279233,0.758611903886638,-0.937395511815255,-1.08690216918013,-1.39424018359228,-0.755083354495343,4,0,1,-0.11067262587232,-0.00692573980978346,0.0460688243946334,1.32362267576371,1.0650697923173,-1.08690216918013,-1.3167997458254,-1.26038992626275,"1",-1.41569011886779,"9","0","1","1","0","0",-0.00246252162309812,0.026748851077464,"Negative"
"AAPL","2023-05-31",3571,"APPLE INC",-0.415015758032108,0.79841656803847,0.167308434227166,-0.462141927984831,-0.615151379643928,-0.400777677098091,22,0,1,-0.399414843579322,0.24858087519541,0.0943325602325518,-0.0213433546035017,-1.05543730282163,-0.462141927984831,-0.592664364117678,-0.714801987718149,"1",-0.457999595515793,"9","0","1","1","0","0",0.0454436055864678,0.0302980542413406,"Positive"
"AAPL","2023-06-30",3571,"APPLE INC",0.602585152749744,0.756133059980044,0.787482106081961,0.499386638389364,0.625649232235067,0.58631950439413,24,1,11,1.07859478288809,0.970579543181734,0.0127870550664846,0.234870598604254,-0.0851501203103163,0.499386638389364,0.196259043289933,0.0238970745274882,"1",0.0255454794126295,"9","1","1","1","0","0",0.0128592131485285,0.01884863916215,"Negative"
"AAPL","2023-07-31",3571,"APPLE INC",1.22715532454122,-0.141963650434302,-1.13896481591663,1.16961870733557,0.933184286425204,1.34259474944529,2,1,0,0.281037104989649,-0.249295899280736,-0.0423844792283915,0.958868029871347,0.459562847256634,1.16961870733557,1.00779736742589,0.713393134962104,"1",-1.11509091109744,"9","1","0","1","0","0",0.0137821995466899,-0.0287525710879123,"Negative"
"AAPL","2023-08-31",3571,"APPLE INC",0.231080432032222,-0.239327241891175,0.0912779153705536,0.235551100865655,0.810170264749149,0.197553884744239,7,0,2,-0.879066725986231,-1.07463139352084,-0.0886767726612504,-0.264384485637955,-1.23248031317563,0.235551100865655,0.87658164538008,0.926578219927018,"0",1.41691180054144,"9","0","1","1","1","1",0.0309342403619706,0.0672924374820574,"Positive"
"AAPL","2023-09-30",3571,"APPLE INC",-0.128393537741482,-0.285557756459612,1.60129178678253,-0.100976004677035,0.256607167206902,-0.14189207175926,9,0,5,-1.61524009388537,-1.76713837865765,-0.00257222356301012,-1.09200481827645,-0.151929494268869,-0.100976004677035,0.244665247274144,0.743133129064143,"0",0.952520536080055,"9","0","1","1","1","1",0.049508502267403,0.00758700459209522,"Positive"
"AAPL","2023-10-31",3571,"APPLE INC",-0.408624457696783,-1.15318830611685,-0.571204928459005,-0.293421616274834,-0.369944249863136,-0.294407760705098,7,0,3,-0.980292941874193,-0.479062172429729,0.113745303718472,-1.78642892264761,1.17435082734507,-0.293421616274834,-0.0184135542913501,0.29609071528245,"0",-0.143909861882284,"9","0","1","1","1","1",0.0266609131596739,0.0561014992406059,"Positive"
"AAPL","2023-11-30",3571,"APPLE INC",0.564408317492508,-1.13437715861678,-0.792018203035277,0.631005135961332,0.498533923076333,0.0536408627866853,14,0,2,1.6592069172903,1.26098339807319,0.0135810997678425,-0.494786838062843,-0.733803592124933,0.631005135961332,0.345629268727328,0.416924518381345,"1",1.03923103076882,"9","0","1","1","0","0",0.0548577413764031,0.0659959191675116,"Positive"
"ABBV","2023-03-31",2834,"ABBVIE INC",0.964325059888083,1.29112708012598,1.39738835927274,0.946177698194854,0.648973533324502,1.07249644971509,24,1,4,0.376808975418333,0.535409938317093,-0.0431395957746509,0.798719024907092,0.875729021934186,0.946177698194854,0.773686281796337,1.02345268146913,"0",-0.193672745375516,"7","1","1","1","0","1",-0.0186556941850582,0.0262270484531042,"Negative"
